keys,en,zh_TW,ja
INTRO1,"One day, you found a mysterious cloth bag while you're turning the soil in the farmland.",,
INTRO2,"Out of curiosity, you opened the bag. Inside was a book, a pill, and a letter.",,
INTRO3,"Using your limited literacy, you reconized that the book is a cultivation manual, and the pill is a ""guaranteed to become immmortal"" pill.",,
INTRO4,"Without worrying too much about it, you tool the pill and started to cultivate according to the book.",,
,,,
ESSENCE,Essence,精,
QI,Qi,氣,
SPIRIT,Spirit,神,
LITERACY,Literacy,識字,
AGE,Age,年齡,
LONGEVITY,Longevity,壽命,
,,,
UI_START,Start,開始修練,
UI_STOP,Stop,暫停修練,
,,,
STAGE,Stage,境界,
STAGE_MORTAL,Mortal,凡人,
STAGE_QI,Qi Refining,煉氣,
STAGE_FOUNDATION,Foundation Establishment,築基,
STAGE_GOLDEN,Golden Core,金丹,
STAGE_NASCENT,Nascent Soul,元嬰,
EARLY_STAGE,early-stage,初期,
MIDDLE_STAGE,middle-stage,中期,
LATE_STAGE,late-stage,後期,
,,,
CULTIVATE,Cultivate,修煉,
MANUAL,Manual,心法,
